NO_SUBSTANCIA;TP_SUBSTANCIA;NU_LMR;CO_MONOGRAFIA;DS_INGREDIENTE_ATIVO;NU_CAS;ST_AUTORIZADO;NO_CULTURA;TIPO_LIMITE;NO_VALOR_REFERENCIA;NO_UNIDADE_MEDIDA;DS_ATO_LEGAL;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;DT_ATUALIZACAO
"ABAMECTINA";"Quimico";0.0500000000;"A18";"ABAMECTINA";"71751412";"SIM";"Ameixa";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 333, DE 30 DE OUTUBRO DE 2024";"11/01/2024 00:00:00";;"09/24/2025 00:00:00"
"ABAMECTINA";"Quimico";0.7000000000;"A18";"ABAMECTINA";"71751412";"SIM";"Mirtilo";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 333, DE 30 DE OUTUBRO DE 2024";"11/01/2024 00:00:00";;"09/24/2025 00:00:00"
"ABAMECTINA";"Quimico";0.0100000000;"A18";"ABAMECTINA";"71751412";"SIM";"Pepino";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"AZOXISTROBINA";"Quimico";20.0000000000;"A26";"AZOXISTROBINA";"131860338";"SIM";"Rúcula";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA  IN N° 205, DE 16 DE FEVEREIRO DE 2023";"02/22/2023 00:00:00";;"09/24/2025 00:00:00"
"AZOXISTROBINA";"Quimico";0.4000000000;"A26";"AZOXISTROBINA";"131860338";"SIM";"Salsa";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 204, DE 27 DE DEZEMBRO DE 2022";"12/28/2022 00:00:00";;"09/24/2025 00:00:00"
"Alanicarbe";"Quimico";0.3000000000;"A27";"Alanicarbe";"83130012";"SIM";"Tomate";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"AMETRINA";"Quimico";0.0500000000;"A11";"AMETRINA";"834128";"SIM";"Cana-de-açúcar";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO-RE Nº 165, DE 29 DE AGOSTO DE 2003";"09/02/2003 00:00:00";;"09/24/2025 00:00:00"
"Acibenzolar-s-metílico";"Quimico";0.1000000000;"A38";"Acibenzolar-s-metílico";"135158542";"SIM";"Inhame";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"RESOLUÇÃO RE Nº 2.703, DE 8 DE JULHO DE 2021";"07/12/2021 00:00:00";;"09/24/2025 00:00:00"
"ACETAMIPRIDO";"Quimico";0.3000000000;"A29";"ACETAMIPRIDO";"135410207";"SIM";"Macadâmia";"Limite máximo";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA IN N° 300, DE 17 DE MAIO DE 2024";"05/20/2024 00:00:00";"03/27/2025 00:00:00";"09/24/2025 00:00:00"
"AZADIRACTINA";"Quimico";999.0000000000;"A54";"AZADIRACTINA";"11141176";"SIM";"Espinafre";"Não estabelecido";"Limite Máximo de Resíduos";"MILIGRAMA/KILOGRAMA  ";"INSTRUÇÃO NORMATIVA - IN Nº 167, DE 12 DE AGOSTO DE 2022";"08/17/2022 00:00:00";;"09/24/2025 00:00:00"
