TP_SUBSTANCIA,NU_LMR,DS_INGREDIENTE_ATIVO,ST_AUTORIZADO,NO_CULTURA,NO_UNIDADE_MEDIDA,DT_INICIO_VIGENCIA
quimico,0.05,abamectina,sim,ameixa,miligrama/kilograma  ,11/01/2024 00:00:00
quimico,0.7,abamectina,sim,mirtilo,miligrama/kilograma  ,11/01/2024 00:00:00
quimico,0.01,abamectina,sim,pepino,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,20.0,azoxistrobina,sim,rúcula,miligrama/kilograma  ,02/22/2023 00:00:00
quimico,0.4,azoxistrobina,sim,salsa,miligrama/kilograma  ,12/28/2022 00:00:00
quimico,0.3,alanicarbe,sim,tomate,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.05,ametrina,sim,cana-de-açúcar,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.1,acibenzolar-s-metílico,sim,inhame,miligrama/kilograma  ,07/12/2021 00:00:00
quimico,0.3,acetamiprido,sim,macadâmia,miligrama/kilograma  ,05/20/2024 00:00:00
quimico,999.0,azadiractina,sim,espinafre,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,0.0,bromopropilato,não,algodão,miligrama/kilograma  ,07/22/2019 00:00:00
quimico,0.015,buprofezina,sim,ervilha,miligrama/kilograma  ,09/29/2023 00:00:00
quimico,0.1,bifentrina,sim,caqui,miligrama/kilograma  ,03/30/2022 00:00:00
quimico,1.0,boscalida,sim,maracujá,miligrama/kilograma  ,01/02/2015 00:00:00
quimico,0.15,boscalida,sim,mandioca,miligrama/kilograma  ,06/08/2020 00:00:00
quimico,0.05,benzoato de emamectina,sim,uva,miligrama/kilograma  ,11/03/2022 00:00:00
quimico,0.05,casugamicina,sim,rabanete,miligrama/kilograma  ,09/09/2014 00:00:00
quimico,0.2,carboxina,sim,feijão-vagem,miligrama/kilograma  ,05/04/2022 00:00:00
quimico,0.15,cipermetrina,sim,abóbora,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,0.5,clorotalonil,sim,soja,miligrama/kilograma  ,10/10/2018 00:00:00
quimico,0.05,cletodim,sim,caqui,miligrama/kilograma  ,10/04/2019 00:00:00
quimico,0.01,ciflutrina,sim,soja,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.01,clorfluazurom,sim,feijão,miligrama/kilograma  ,03/20/2017 00:00:00
quimico,0.5,clorfenapir,sim,alho,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.3,ciprodinil,sim,chuchu,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,0.3,cresoxim-metílico,sim,romã,miligrama/kilograma  ,05/06/2020 00:00:00
quimico,0.02,beta-cipermetrina,sim,guaraná,miligrama/kilograma  ,08/19/2015 00:00:00
quimico,0.3,alfa-cipermetrina,sim,café,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.09,beta-cipermetrina,sim,soja,miligrama/kilograma  ,12/01/2023 00:00:00
quimico,0.05,lambda-cialotrina,sim,gergelim,miligrama/kilograma  ,03/08/2023 00:00:00
quimico,0.2,lambda-cialotrina,sim,pitaya,miligrama/kilograma  ,05/20/2024 00:00:00
quimico,0.3,clorantraniliprole,sim,abobrinha,miligrama/kilograma  ,12/08/2014 00:00:00
quimico,0.15,ciantraniliprole,sim,goiaba,miligrama/kilograma  ,03/08/2023 00:00:00
quimico,0.2,deltametrina,sim,feijão,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.04,ciclaniliprole,sim,maçã,miligrama/kilograma  ,08/17/2022 00:00:00
quimico,0.15,diflubenzurom,sim,cenoura,miligrama/kilograma  ,08/02/2023 00:00:00
quimico,0.1,diurom,sim,abacaxi,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.2,isopirazam,sim,cevada,miligrama/kilograma  ,08/09/2024 00:00:00
quimico,0.01,lufenurom,sim,feijão,miligrama/kilograma  ,07/04/2016 00:00:00
quimico,0.01,lufenurom,sim,mandioca,miligrama/kilograma  ,07/12/2010 00:00:00
quimico,0.1,imazamoxi,sim,girassol,miligrama/kilograma  ,01/16/2017 00:00:00
quimico,1.0,imazalil,sim,banana,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,3.0,malationa,sim,couve,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.5,malationa,sim,couve-flor,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.5,mandipropamida,sim,alho,miligrama/kilograma  ,04/13/2021 00:00:00
quimico,1.5,mancozebe,sim,cebola,miligrama/kilograma  ,03/08/2024 00:00:00
quimico,0.07,indoxacarbe,sim,girassol,miligrama/kilograma  ,01/08/2018 00:00:00
quimico,0.1,iminoctadina tris(albesilato),não,batata,miligrama/kilograma  ,09/02/2003 00:00:00
quimico,0.05,glufosinato,sim,mostarda,miligrama/kilograma  ,11/03/2022 00:00:00
quimico,0.07,metominostrobina,sim,arroz,miligrama/kilograma  ,05/28/2019 00:00:00
quimico,0.2,glufosinato,sim,noz-pecã,miligrama/kilograma  ,03/08/2023 00:00:00
quimico,0.05,haloxifope-p-metílico,sim,cana-de-açúcar,miligrama/kilograma  ,01/08/2018 00:00:00
